Ref,Val,Package,PosX,PosY,Rot,Side
"R24","330","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",-120.820000,-66.510000,90.000000,bottom
"R25","380","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",-135.030000,-74.010000,0.000000,bottom
"R28","39","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",-143.050000,-74.010000,180.000000,bottom
