Ref,Val,Package,PosX,PosY,Rot,Side
"R49","2.7K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",93.170000,-73.910000,90.000000,top
"R50","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",96.060000,-78.900000,90.000000,top
"R51","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",105.580000,-110.060000,180.000000,top
"U1","FM24C64B","SOIC-8_3.9x4.9mm_P1.27mm",77.520000,-107.510000,0.000000,top
"U2","STM32F103CBTx","LQFP-48_7x7mm_P0.5mm",80.780000,-89.650000,0.000000,top
"U3","TL431D","SOIC-8_3.9x4.9mm_P1.27mm",77.270000,-99.700000,0.000000,top
"U4","AD8541AKSZ-REEL7","SOT-23-5",65.800000,-96.470000,-90.000000,top
"U5","AD8541AKSZ-REEL7","SOT-23-5",63.640000,-106.795000,-90.000000,top
"U7","AD8541AKSZ-REEL7","SOT-23-5",56.820000,-69.990000,-90.000000,top
"U8","MC34063AD","SOIC-8_3.9x4.9mm_P1.27mm",106.880000,-80.080000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_5032-4Pin_5.0x3.2mm",69.680000,-83.910000,0.000000,top
